"";"STATE";"fund_tot";"numaward_tot";"yr";"moneyrat"
"755";"AK";10810273;13;2007;831559,461538462
"756";"AL";282585620;623;2007;453588,475120385
"757";"AR";60634290;161;2007;376610,49689441
"758";"AS";340759;1;2007;340759
"759";"AZ";175705507;489;2007;359315,965235174
"760";"CA";3684324170;7490;2007;491899,08811749
"761";"CO";338309551;937;2007;361056,084311633
"762";"CT";481583219;1216;2007;396038,831414474
"763";"DC";223469845;431;2007;518491,519721578
"764";"DE";28868589;73;2007;395460,123287671
"765";"FL";408982090;999;2007;409391,481481481
"766";"GA";386226253;1041;2007;371014,652257445
"767";"GU";949688;3;2007;316562,666666667
"768";"HI";70629392;116;2007;608874,068965517
"769";"IA";206471106;505;2007;408853,675247525
"770";"ID";10934096;19;2007;575478,736842105
"771";"IL";769537425;2029;2007;379269,30754066
"772";"IN";215134319;652;2007;329960,61196319
"773";"KS";89553406;243;2007;368532,534979424
"774";"KY";146238045;429;2007;340881,223776224
"775";"LA";139677077;314;2007;444831,455414013
"776";"MA";2317902220;5074;2007;456819,515175404
"777";"MD";1348706612;2514;2007;536478,365950676
"778";"ME";71732236;130;2007;551786,430769231
"779";"MI";624056535;1461;2007;427143,41889117
"780";"MN";471371850;1057;2007;445952,554399243
"781";"MO";491476079;1185;2007;414747,745991561
"782";"MS";44665322;79;2007;565383,82278481
"783";"MT";35792450;85;2007;421087,647058824
"784";"NC";1131758660;2180;2007;519155,348623853
"785";"ND";16992305;34;2007;499773,676470588
"786";"NE";74133038;219;2007;338507,02283105
"787";"NH";91085108;237;2007;384325,35021097
"788";"NJ";283762722;688;2007;412445,816860465
"789";"NM";128659881;242;2007;531652,400826446
"790";"NV";22153851;53;2007;417997,188679245
"791";"NY";2003864544;4846;2007;413508,985555097
"792";"OH";698122460;1809;2007;385916,229961305
"793";"OK";83471561;190;2007;439324,005263158
"794";"OR";280198793;752;2007;372604,777925532
"795";"PA";1440939075;3543;2007;406700,275190516
"796";"PR";59856470;62;2007;965426,935483871
"797";"RI";144740647;482;2007;300291,798755187
"798";"SC";132917324;390;2007;340813,651282051
"799";"SD";17147765;30;2007;571592,166666667
"800";"TN";457844128;1092;2007;419271,179487179
"801";"TX";1130815968;2816;2007;401568,170454545
"802";"UT";161669455;430;2007;375975,476744186
"803";"VA";353882260;938;2007;377273,198294243
"804";"VI";1819748;3;2007;606582,666666667
"805";"VT";67264757;164;2007;410150,957317073
"806";"WA";829282481;1644;2007;504429,73296837
"807";"WI";388727430;1014;2007;383360,384615385
"808";"WV";24694718;71;2007;347812,929577465
"809";"WY";7365267;16;2007;460329,1875
"810";"AK";11549670;17;2008;679392,352941177
"811";"AL";253320768;593;2008;427185,10623946
"812";"AR";58142907;155;2008;375115,529032258
"813";"AS";429775;2;2008;214887,5
"814";"AZ";161941331;440;2008;368048,479545455
"815";"CA";3944228873;7332;2008;537947,20035461
"816";"CO";332932757;925;2008;359927,304864865
"817";"CT";476213910;1191;2008;399843,753148615
"818";"DC";225795194;389;2008;580450,370179949
